product_id,product_name,actual_price,percent_discount
96,Original Xiaomi Redmi Book Pro 16 2024 U5/U7 3K 120Hz Screen JYU4592CN/JYU4593CN ,43611.29,59
97,Xiaomi Redmi G Pro Game E-Sport 2024 14900H 4060 8G 16.1inch 240Hz 2.5K Screen ,39974.96,35
98,Redmi Book Pro 14 2024 U5/U7 32G 1T 2.8K 120Hz ,24615.17,35
99,Tested Original SSD Chip For Macbook Air Pro A1932 A1989 A1990 A2141 A2251 Nand Flash Memory IC Chip 128G 256G 500G 1TB 2TB ,1583.01,6
100,Original Xiaomi RedmiBook 16 2024 New 13620H/ 13500H/12450H 16G 512G 16inch Screen JYU4577CN/JYU4585CN/JYU4614CN ,22342.6,42
101,Xiaomi Redmi Book 14 2024 New 13500H 16G 512G 2.8K 120Hz 14'' Screen ,19221.7,41
102,Lenovo LEGION R7000 2024 E-Sport 8745H 8 cores 16 threads RTX4050/RTX4060 1920*1080P HD 15.6inch Screen ,21604.93,0
103,New S150ADA IdeaPad 1-14ADA05 1-11ADA05 Laptop motherboard Model Multiple CPU 3020E 3050E SN 19877-1 FRU 5B20Z2302 5B20Z26469 ,403.35,0
104,Xiaomi Redmi Book Pro 14 2024 U5-125/U7-155 32+1T Or RedmiBook 14 2024 13500H 16+512G Optional ,13094.5,0
105,New Original 990 Pro 1TB 2TB 4TB 8TB SSD M.2 2280 Internal NVMe Solid State Hard Disk PCIe Gen 5.0 x 4 for Laptop PS5 PC PS4 ,273.97,0
106,50pcs Mario Anime Stickers Suitcase Water Cup Stationery Mobile Phone Car Scooter Laptop Refrigerator Decorative Stickers ,19.76,34
107,300/500Stickers Cartoon Capybara Graffiti Sticker For Water Bottle Laptop Luggages Laptop Decals Decoration Kid Reward Gift Toy ,206.45,68
108,10pcs Webcam Cover Shutter Slider Camera Cover for iPad Tablet Web Laptop PC Camera Mobile Phone Lens Privacy Sticker ,193.11,69
109,"KLQDZMS 20""22""24""26Inch High Quality Suitcase Front Opening Laptop Boarding Case PC Trolley Case Multifunctional Women's Luggage ",3007.72,39
110,PC Speaker For Computer Laptop Notebook Desktop Caixa De Som Mini Sound Box Music Bocina Column Acoustics Coluna Audio System ,446,58
111,2 In 1 Screen Cleaner Spray Bottle Multifunction Mobile Phone Tablet PC Laptop Screen Dust Remover Microfiber Wiper Cleaner Tool ,22.83,0
112,13.3 14 15.6 inch Ultra Thin Laptop Handbag Sleeve Case Notebook Cover Pouch Shoulder Bag For Lenovo HP Dell Asus Samsung ,411.12,57
113,SSD Drive HDD 2.5 Hard Disk SSD 4TB 2TB 120GB 240G 1TB 512GB 128GB 256G HD SATA Disk Internal Hard Drive for Laptop Computer ,914.37,68
