sales_id,quantity_sold,discounted_price,amount_saved,shipping_fee
259,39,127.09,137.66,0.0
260,87,118.15,0.0,179.17
261,29,73.08,129.91,0.0
262,2,234.34,191.74,0.0
263,0,108.79,150.26,0.0
264,9,46.47,2.78,2.78
265,46,114.85,158.6,0.0
266,19,30.52,172.88,0.0
267,3,553.21,400.61,0.0
268,8,116.35,136.61,0.0
269,40,58.95,131.2,0.0
270,0,29.48,36.03,0.0
271,113,66.55,129.19,0.0
272,20,23.43,0.0,0.0
273,3,80.72,98.67,0.0
274,77,165.94,187.15,0.0
275,0,23.32,8.64,0.0
276,11,40.21,9.34,9.34
277,77,77.25,63.16,0.0
278,18,153.08,0.0,0.0
279,13,7.44,0.0,0.0
280,67,18.08,0.0,0.0
281,262,19.08,7.41,0.0
282,402,585.97,0.0,0.0
283,9,104.66,194.4,0.0
284,10,111.56,136.33,0.0
285,4,173.08,229.42,0.0
286,16,65.22,14.72,14.72
287,4,52.56,0.0,0.0
288,0,119.22,145.71,0.0
289,97,59.83,133.17,0.0
290,38,432.46,573.24,0.0
291,15,15.83,0.0,0.0
292,3,67.83,89.95,0.0
293,6,74.01,86.89,0.0
294,64,147.25,159.5,0.0
295,57,6.65,0.0,0.0
296,156,125.64,213.91,0.0
297,282,46.36,22.83,25.7
298,41,509.16,489.17,0.0
299,5,910.08,0.0,0.0
300,134,30.52,172.88,0.0
301,208,27.71,13.61,0.0
302,0,94.03,101.86,0.0
303,56,65.54,0.0,0.0
304,7,71.71,7.12,0.0
305,40,15.04,12.98,12.98
306,0,15814.27,0.0,130692.51
307,0,15814.27,0.0,318762.02
308,0,30868.7,1099.72,1099.72
309,0,12663.92,0.0,968.8
310,0,9127.58,0.0,0.0
311,0,27671.01,2304.86,2304.86
312,1,14196.44,2703.62,2703.62
313,0,26467.93,2703.62,2703.62
314,0,7814.38,0.0,0.0
315,0,17444.77,2304.86,2304.86
316,0,17805.7,2304.86,2304.86
